DFHG Author,LOFTS urn
THEODECTES PHASELITA,urn:lofts:fhg.2.theodectes_phaselita
LYCUS RHEGINUS,urn:lofts:fhg.2.lycus_rheginus
NYMPHODORUS SYRACUSANUS,urn:lofts:fhg.2.nymphodorus_syracusanus
CALLIAS SYRACUSANUS,urn:lofts:fhg.2.callias_syracusanus
ANTANDER SYRACUSANUS,urn:lofts:fhg.2.antander_syracusanus
HECATAEUS ABDERITA,urn:lofts:fhg.2.hecataeus_abderita
PSEUDO-HECATAEUS,urn:lofts:fhg.2.pseudo_hecataeus
AMOMETUS,urn:lofts:fhg.2.amometus
MEGASTHENES,urn:lofts:fhg.2.megasthenes
DAIMACHUS PLATAEENSIS,urn:lofts:fhg.2.daimachus_plataeensis
PATROCLES,urn:lofts:fhg.2.patrocles
DEMODAMAS MILESIUS,urn:lofts:fhg.2.demodamas_milesius
[DEMODAMAS HALICARNASSENSIS],urn:lofts:fhg.2.demodamas_halicarnassensis
DEMOCHARES LEUCONOENSIS,urn:lofts:fhg.2.demochares_leuconoensis
HIERONYMUS CARDIANUS,urn:lofts:fhg.2.hieronymus_cardianus
PYRRHUS EPIROTA,urn:lofts:fhg.2.pyrrhus_epirota
PROXENUS,urn:lofts:fhg.2.proxenus
CINEAS THESSALUS,urn:lofts:fhg.2.cineas_thessalus
SUIDAS,urn:lofts:fhg.2.suidas
DURIS SAMIUS,urn:lofts:fhg.2.duris_samius
IDOMENEUS LAMPSACENUS,urn:lofts:fhg.2.idomeneus_lampsacenus
DIONYSIUS HERACLEOTA,urn:lofts:fhg.2.dionysius_heracleota
BEROSUS CHALDAEUS,urn:lofts:fhg.2.berosus_chaldaeus
MANETHO SEBENNYTA,urn:lofts:fhg.2.manetho_sebennyta
CRATERUS MACEDO,urn:lofts:fhg.2.craterus_macedo
PERSAEUS CITTIENSIS,urn:lofts:fhg.2.persaeus_cittiensis
DEMETRIUS BYZANTIUS,urn:lofts:fhg.2.demetrius_byzantius
SOSIBIUS LACO,urn:lofts:fhg.2.sosibius_laco
CTESIBIUS,urn:lofts:fhg.2.ctesibius
NEANTHES CYZICENUS. LYSIMACHUS,urn:lofts:fhg.3.neanthes_cyzicenus_lysimachus
NYMPHIS HERACLEOTA,urn:lofts:fhg.3.nymphis_heracleota
PHILINUS AGRIGENTINUS,urn:lofts:fhg.3.philinus_agrigentinus
EUPHANTUS OLYNTHIUS,urn:lofts:fhg.3.euphantus_olynthius
SPHAERUS BOSPORANUS,urn:lofts:fhg.3.sphaerus_bosporanus
ARATUS SICYONIUS,urn:lofts:fhg.3.aratus_sicyonius
DINIAS ARGIVUS,urn:lofts:fhg.3.dinias_argivus
DIONYSIUS ARGIVUS,urn:lofts:fhg.3.dionysius_argivus
PHILOSTEPHANUS CYRENAEUS,urn:lofts:fhg.3.philostephanus_cyrenaeus
HERMIPPUS CALLIMACHIUS,urn:lofts:fhg.3.hermippus_callimachius
CALLIXENUS RHODIUS,urn:lofts:fhg.3.callixenus_rhodius
PTOLEMAEUS MEGALOPOLITANUS,urn:lofts:fhg.3.ptolemaeus_megalopolitanus
HEGESIANAX ALEXANDRINUS E TROADE (CEPHALON GERGITHIUS),urn:lofts:fhg.3.hegesianax_alexandrinus_e_troade
MNESIPTOLEMUS,urn:lofts:fhg.3.mnesiptolemus
EUPHORION CHALCIDENSIS,urn:lofts:fhg.3.euphorion_chalcidensis
DIOCLES PEPARETHIUS,urn:lofts:fhg.3.diocles_peparethius
DIOCLES RHODIUS,urn:lofts:fhg.3.diocles_rhodius
QUINTUS FABIUS PICTOR,urn:lofts:fhg.3.quintus_fabius_pictor
NUMERIUS FABIUS PICTOR,urn:lofts:fhg.3.numerius_fabius_pictor
L. CINCIUS ALIMENTUS,urn:lofts:fhg.3.l_cincius_alimentus
P. CORNELIUS SCIPIO,urn:lofts:fhg.3.p_cornelius_scipio
C. ACILIUS GLABRIO,urn:lofts:fhg.3.c_acilius_glabrio
HANNIBAL CARTHAGINIENSIS,urn:lofts:fhg.3.hannibal_carthaginiensis
SOSILUS LACEDAEMONIUS,urn:lofts:fhg.3.sosilus_lacedaemonius
CHAEREAS,urn:lofts:fhg.3.chaereas
SILENUS CALACTINUS,urn:lofts:fhg.3.silenus_calactinus
XENOPHON,urn:lofts:fhg.3.xenophon
EUMACHUS NEAPOLITANUS,urn:lofts:fhg.3.eumachus_neapolitanus
MENODOTUS PERINTHIUS VEL SAMIUS,urn:lofts:fhg.3.menodotus_perinthius_vel_samius
ALEXANDRIDES DELPHUS,urn:lofts:fhg.3.alexandrides_delphus
POLEMO ILIENSIS,urn:lofts:fhg.3.polemo_iliensis
MNASEAS PATRENSIS,urn:lofts:fhg.3.mnaseas_patrensis
SATYRUS,urn:lofts:fhg.3.satyrus
HERACLIDES LEMBUS,urn:lofts:fhg.3.heraclides_lembus
POSIDONIUS OLBIOPOLITA,urn:lofts:fhg.3.posidonius_olbiopolita
STRATO,urn:lofts:fhg.3.strato
AULUS POSTUMIUS ALBINUS,urn:lofts:fhg.3.aulus_postumius_albinus
ZENO RHODIUS,urn:lofts:fhg.3.zeno_rhodius
ANTISTHENES RHODIUS,urn:lofts:fhg.3.antisthenes_rhodius
SCYLAX CARYANDENSIS,urn:lofts:fhg.3.scylax_caryandensis
PTOLEMAEUS EVERGETES II,urn:lofts:fhg.3.ptolemaeus_evergetes_ii
DIONYSIUS THRAX,urn:lofts:fhg.3.dionysius_thrax
AGATHARCHIDES CNIDIUS,urn:lofts:fhg.3.agatharchides_cnidius
AGATHARCHIDES SAMIUS,urn:lofts:fhg.3.agatharchides_samius
PSAON PLATAEENSIS,urn:lofts:fhg.3.psaon_plataeensis
CNAEUS AUFIDIUS,urn:lofts:fhg.3.cnaeus_aufidius
PUBLIUS RUTILIUS RUFUS,urn:lofts:fhg.3.publius_rutilius_rufus
PROMATHIDAS HERACLEOTA,urn:lofts:fhg.3.promathidas_heracleota
PROMATHION,urn:lofts:fhg.3.promathion
METRODORUS SCEPSIUS,urn:lofts:fhg.3.metrodorus_scepsius
